Psicologica,Legal
Maltrato,denuncia
Maltratar,abogado
Golpea,abogados
Golpa,tentativa
Golpe,legal
Tira,feminicidio
Herida,homicidio
Golpear,comisaria
Morder,antecedente
Empujar,policia
Apalear,juez
Ahogar,jusgado
Agredir ,juzgado
Arma,jues
Correa,policias
Soga,serenazgo
Palo,legista
jaalar,lejista
Cachetada,médico
Puñete,delito
latigo,dleito
Asfixia,autoridad
Afixia,crimen
Aficcia,judicial
Sacudir,judisial
Bofetada,delictvo
Navaja,delictivo
Cuchillo,penal
Quemar,penales
puntapies,administrativas
Codazo,prueba
Rodillazo,pruebas
Jalar cabello,procedimiento
Moretones,querella
Hinchazones,defensa
lesion,despacho
Hueso roto,caso
Desmayo,acusacion
Sangrado,demanda
Hemorragia,proteger
cortar,justicia
fractura,censura
hematoma,
maltrat,
malrato,
golpeo,
tiro,
golpes,
golpeando,
maltratando,
maltratador,
mordio,
mordida,
mordid,
empujo,
empujon,
palear,
ahogo,
apaleo,
ahogando,
ahogado,
empujado,
agredio,
agresivo,
agresiva,
punzocortante,
punzo,
correas,
aplos,
sogas,
cachetadas,
chacetadas,
cachetads,
puñetes,
puño,
puñet,
latig,
latigzo,
latigazo,
latigaso,
aficciar,
asfixiar,
asfixio ,
jalar,
cabello,
jalo,
sacudio,
bofetead,
bofeteo,
quemarme,
quemando,
quema,
degollar,
obliga,
Celos,
Infiel,
Acusa,
Persigue,
Insistir,
Burla,
visita,
visitas,
Prohibe,
Impide,
prohibid,
proibe,
Matarme,
Matarse,
Insulto,
humillacion,
Amenaza,
Encierro,
Abandono,
Aislamiento,
Lisuras,
Avergonzado,
estudiar,
Controla,
soeces,
rebaja,
culpa,
miedo,
debil,
psicologo,
sicologo,
psiquiatra,
siquiatra,
hijo,
orientacion,
depresion ,
ansiedad,
terapia,
capricho,
celoso,
celosa,
cels,
indifelidad,
acusando,
acusada,
acusado,
acusandome,
obligo,
obligada,
persegida,
insistio,
insistido,
insiste,
burlandose,
burlas,
prohbicion,
prohibido,
prohibicon,
prohibidos,
facebook,
humilla,
humllandome,
humillandonos,
encerro,
aisla,
amenazando,
amenazas,
amenaso,
amenazo,
abandonarme,
dejarme,
abandonar,
controlarme,
rebajarme,
culpable,
miedosa,
socologo,
ayuda,
sentir,
Robar,
Cntrola ,
Controla ,
trabajar,
ingreso,
mantener,
trabajo,
administrar,
comida,
alimentos,
robando,
robo,
dinero,
negar,
niega,
prohibirme,
mantiene,
mantengo,
independiente,
dependiente,
plata,
pagar,
comprar,
sexal,
violacion,
pronografia,
intimas,
obligar,
tocarme,
Tocar,
Manosear,
Rozar,
Chantajear,
Masturbar,
Genitales,
relacion,
mañoso,
satisfacer,
provocar,
trasero,
seno,
vagina,
pene,
teta,
abuso,
sexual,
abusando,
violado,
violarme,
viola,
pronografial,
agresiones,
agresion,
sexo,
exual,
sexi,
obligarme,
menoseo,
manoseo,
rozo,
rozarme,
masturbarse,
provoco,
partes,
roso,
rosarme,
explotacion,
explota,
testas,
busto,
